10,6,13,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0S01,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,_____,_____,W0S01,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,W0S01,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0S01,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,_____,_____,W0S01,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,W0S01,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0S01,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,_____,_____,W0S01,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,W0S01,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0S01,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,_____,_____,W0S01,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,W0S01,W0m00,W0m00,W0m00,W0m00,W0n00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,C0m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,W0m00,_____,
_____,_____,W0S01,_____,_____,_____,_____,_____,W0m00,W0S03,
_____,_____,_____,W0S01,C0L02,C0L02,C0L02,C0L02,W0S03,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,T0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,_____,TwN00,T0m00,C0m00,C0m00,C0m00,C0m00,T0m00,_____,
_____,_____,_____,T0m00,W0n00,W0n00,W0n00,W0n00,T0m00,_____,
_____,_____,W0S01,T0m00,W0m00,W0m00,W0m00,W0m00,T0m00,W0S03,
_____,_____,_____,W0L03,W0S02,W0S02,W0S02,W0S02,W0L02,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,W0L03,W0S02,W0S02,W0S02,W0S02,W0S02,W0S02,W0L02,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
