9,7,11,0,
lib_materials:stone,lib_materials:stone_brick,lib_materials:stone_block,lib_materials:stone_cobble,,,,,,lib_ecology:tree_default_wood,
##
W0L20,C0cw1,_____,_____,_____,_____,_____,C0cw1,W0L20,
_____,W0L00,W0L20,_____,_____,_____,W0L20,W0L00,_____,
_____,_____,_____,W0L00,W0L20,W0L00,_____,_____,_____,
#
ggggg,S0m00,K0m00,K0m00,K0m00,K0m00,K0m00,S0m00,ggggg,
_____,C0WE0,_____,_____,_____,_____,_____,C0WE0,_____,
_____,C0wE0,_____,_____,_____,_____,_____,C0wE0,_____,
_____,C0wE0,_____,_____,_____,_____,_____,C0wE0,_____,
W0L20,C0cw1,_____,_____,_____,_____,_____,C0cw1,W0L20,
_____,W0L00,W0L20,_____,_____,_____,W0L20,W0L00,_____,
_____,_____,_____,W0L00,W0L20,W0L00,_____,_____,_____,
#
ggggg,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,S0m00,ggggg,
_____,C0m00,C0WN0,C0WN0,C0WN0,C0WN0,C0WN0,C0m00,_____,
_____,C0PW0,C0wN0,G0wp0,C0wN0,G0wp0,C0wN0,C0PW0,_____,
_____,C0PW0,C0wN0,C0wN0,C0wN0,C0wN0,C0wN0,C0PW0,_____,
W0L20,C0m00,C0cw0,C0cw0,C0cw0,C0cw0,C0cw0,C0m00,W0L20,
_____,W0L00,C0cw0,C0wN0,G0wp0,C0wN0,C0cw0,W0L00,_____,
_____,_____,_____,W0L00,C0cw0,W0L00,_____,_____,_____,
#
ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,ggggg,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
W0L20,_____,_____,_____,_____,_____,_____,_____,W0L20,
_____,W0L00,W0L20,_____,_____,_____,W0L20,W0L00,_____,
_____,_____,_____,W0L00,W0L20,W0L00,_____,_____,_____,

